,Event,Dates,Location,Description
1813,Rudolph the Red-Nosed Reindeer,2022-11-24,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1814,"Garden Lights, Holiday Nights",2022-11-24,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
1815,2022 Georgia Festival of Trees,2022-11-24,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
1816,Stem Wine Bar’s November Tastings: Amazing America,2022-11-24,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1817,Candlelight: A Tribute to Beyonce,2022-11-24,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
1818,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-24,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1819,Skate the Station,2022-11-24,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
1820,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-24,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
1821,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-24,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
1822,The Colors of Peace Exhibit,2022-11-24,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1823,Celebration at the Station,2022-11-24,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1824,“The Tempest”,2022-11-24,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1825,Stranger Things: The Experience,2022-11-24,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1826,Holiday Catering with Grecian Gyro,2022-11-24,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1827,Holiday in the Park,2022-11-24,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1828,Waking Wonderland: An Immersive Experience,2022-11-24,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1829,Harry Potter: The Exhibition,2022-11-24,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
1830,Maker’s Market,2022-11-24,Atlantic Green,
1831,Cirque Du Soleil – Kurios,2022-11-24,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
1832,PAW Patrol: Adventure Play,2022-11-24,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1833,Holiday Tree Market in the Courtyard,2022-11-24,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1834,Deana Lawson Exhibit,2022-11-24,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
1835,OnStage Atlanta presents The Cemetery Club,2022-11-24,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
1836,Spruill Gallery Holiday Artists Market,2022-11-24,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
1837,Gurl Mobb Museum- Selfie museum in Atlanta,2022-11-24,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
1838,Midtown Atlanta Food and Cocktail Tour,2022-11-24,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
1839,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-24,Chick-fil-A College Football Hall of Fame,
1840,WildWoods AGLOW,2022-11-24,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1841,Tiny Lous Thanksgiving Day,2022-11-24,Ponce de Leon Ave. & Clifton Road,"Thanksgiving: Thursday, November 24th ● Tiny Lou’s: 11:00am-4:00pm ● Lobby Bar: 11:00am-6:00pm ● Rooftop: closed…"
1842,Atlanta Gladiators vs. Savannah Ghost Pirates,2022-11-24,Gas South Arena,
1843,Celebrate Thanksgiving at ENZO Steakhouse & Bar,2022-11-24,ENZO Steakhouse & Bar,"Let ENZO Steakhouse & Bar do the work this Thanksgiving. On Thursday, November 24, 2022…"
1844,Winter Wonderland at Fernbank,2022-11-24,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1845,Celebrate Thanksgiving at Davio’s,2022-11-24,Davio’s Northern Italian Steakhouse,"Celebrate Thanksgiving with loved ones at Davio’s. On Thursday, November 24th from 11:00am to 8:00pm,…"
1846,“In Hope for a Better Future” Art Exhibition,2022-11-24,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1847,Drinksgiving!,2022-11-24,UrbanTree Cidery,Join us for our first ever Drinksgiving!   The tasting room will be open the…
1848,2022 INVESCO QQQ THANKSGIVING DAY HALF MARATHON,2022-11-24,Center for Black Women’s Wellness,"Center Parc Stadium, 755 Hank Aaron Dr, Atlanta, GA 30315"
1849,Ancient Engraved Gemstones,2022-11-24,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
1850,Shine Light Show at Coolray Field,2022-11-24,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1851,FIFA World Cup 2022™ Watch Parties,2022-11-24,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
1852,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-24,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
1853,Claude Monet Immersive Exhibit,2022-11-24,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1854,Trinity of Terror Tour,2022-11-25,Coca-Cola Roxy,"Trinity Of Terror Tour with Ice Nine Kills, Black Veil Brides & Motionless In White…"
1855,Wild Leap Atlanta World Cup Watch Party,2022-11-25,Wild Leap Atlanta,We’re thrilled to announce Wild Leap Atlanta’s first sneak preview event! We’re partnering with American…
1856,Tree Tour: Thanksgiving Weekend Edition,2022-11-25,BeltLine behind Beltline Orthodontics & Pediatric Dentistry,The Friday after Thanksgiving is a great time to get outside with family and friends….
1857,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-25,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1858,Giant Panda Wild Encounter,2022-11-25,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
1859,Ancient Engraved Gemstones,2022-11-25,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
1860,A Christmas Carol,2022-11-25,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
1861,Holiday in the Park,2022-11-25,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1862,Igloos on The Roof,2022-11-25,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
1863,Cirque Du Soleil – Kurios,2022-11-25,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
1864,World Cup Watch Party USA vs. England,2022-11-25,Silverbacks Park,Join us as the US takes on England on the big screen! We will have…
1865,Maker’s Market,2022-11-25,Atlantic Green,
1866,Reindeer Road by World of Illumination,2022-11-25,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
1867,Celebration at the Station,2022-11-25,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1868,“In Hope for a Better Future” Art Exhibition,2022-11-25,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1869,Stem Wine Bar’s November Tastings: Amazing America,2022-11-25,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1870,World of Illumination,2022-11-25,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
1871,Shine Light Show at Coolray Field,2022-11-25,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1872,WildWoods AGLOW,2022-11-25,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1873,Midtown Atlanta Food and Cocktail Tour,2022-11-25,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
1874,Dominic Fike Live In Concert,2022-11-25,Tabernacle Atlanta,"Singer-songwriter Dominic Fike will perform live at The Tabernacle on Friday, Nov 25 at 7:30pm."
1875,Black Friday: Shop with Santa!,2022-11-25,Atlantic Station,Santa Claus is coming to Atlantic Station on Nov 25! Shop Black Friday deals at…
1876,"Garden Lights, Holiday Nights",2022-11-25,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
1877,Spruill Gallery Holiday Artists Market,2022-11-25,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
1878,PAW Patrol: Adventure Play,2022-11-25,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1879,2022 Georgia Festival of Trees,2022-11-25,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
1880,Candlelight: A Tribute to Beyonce,2022-11-25,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
1881,Harry Potter: The Exhibition,2022-11-25,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
1882,Rodgers & Hammerstein’s Cinderella,2022-11-25,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
1883,Waking Wonderland: An Immersive Experience,2022-11-25,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1884,The Rink at Park Tavern,2022-11-25,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
1885,Atlanta Gladiators vs. South Carolina Stingrays,2022-11-25,Gas South Arena,
1886,Holiday Catering with Grecian Gyro,2022-11-25,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1887,Stranger Things: The Experience,2022-11-25,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1888,“The Tempest”,2022-11-25,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1889,Winter Wonderland at Fernbank,2022-11-25,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1890,The Colors of Peace Exhibit,2022-11-25,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1891,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-25,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
1892,Blackberry Smoke – Rasslin’ Is Real Tour,2022-11-25,Fox Theatre,Southern outfit Blackberry Smoke is coming to Atlanta for their brand new Rasslin’ Is Real…
1893,Claude Monet Immersive Exhibit,2022-11-25,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1894,Gurl Mobb Museum- Selfie museum in Atlanta,2022-11-25,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
