,Event,Dates,Location,Description
1966,Delicious Thanksgiving Offerings from Fox Bros BBQ,2022-11-22,Fox Bros. Bar-B-Q,Fox Bros. Bar-B-Q welcomes another year of holiday tradition with their beloved Thanksgiving catering menu….
1967,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-22,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
1968,Ancient Engraved Gemstones,2022-11-22,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
1969,Harry Potter Trivia Series,2022-11-22,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
1970,PAW Patrol: Adventure Play,2022-11-22,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1971,Reindeer Road by World of Illumination,2022-11-22,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
1972,Holiday Tree Market in the Courtyard,2022-11-22,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1973,Skate the Station,2022-11-22,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
1974,Celebration at the Station,2022-11-22,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1975,Claude Monet Immersive Exhibit,2022-11-22,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1976,Stem Wine Bar’s November Tastings: Amazing America,2022-11-22,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1977,Holiday Catering with Grecian Gyro,2022-11-22,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1978,A Christmas Carol,2022-11-22,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
1979,Holiday in the Park,2022-11-22,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1980,Rudolph the Red-Nosed Reindeer,2022-11-22,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1981,Free Birds–$ 2.00 Fall Flick at Aurora Cineplex,2022-11-22,Aurora Cineplex,FREE BIRDS ( PG)–our $ 2.00 Fall Family Flicks at Aurora Cineplex. Just in time…
1982,WildWoods AGLOW,2022-11-22,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1983,“In Hope for a Better Future” Art Exhibition,2022-11-22,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1984,World of Illumination,2022-11-22,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
1985,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-22,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1986,2022 Georgia Festival of Trees,2022-11-22,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
1987,Shine Light Show at Coolray Field,2022-11-22,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1988,The Colors of Peace Exhibit,2022-11-22,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1989,"Garden Lights, Holiday Nights",2022-11-22,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
1990,Winter Wonderland at Fernbank,2022-11-22,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1991,ATEEZ – The Fellowship: Break The Wall Tour,2022-11-22,State Farm Arena,K-pop giants ATEEZ have announced a monumental world tour later in 2022 promoting their new…
1992,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-22,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
1993,Stranger Things: The Experience,2022-11-22,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1994,Spruill Gallery Holiday Artists Market,2022-11-22,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
1995,Holiday Tree Market in the Courtyard,2022-11-23,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1996,Rudolph the Red-Nosed Reindeer,2022-11-23,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1997,Stephen Burks Shelter in Place,2022-11-23,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
1998,Shine Light Show at Coolray Field,2022-11-23,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1999,Finely Crafted: Cocktails and Comedy,2022-11-23,Atlanta,
2000,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-23,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
2001,WildWoods AGLOW,2022-11-23,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2002,PAW Patrol: Adventure Play,2022-11-23,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2003,Waking Wonderland: An Immersive Experience,2022-11-23,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2004,Winter Wonderland at Fernbank,2022-11-23,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2005,The Colors of Peace Exhibit,2022-11-23,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2006,“The Tempest”,2022-11-23,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
2007,Delicious Thanksgiving Offerings from Fox Bros BBQ,2022-11-23,Fox Bros. Bar-B-Q,Fox Bros. Bar-B-Q welcomes another year of holiday tradition with their beloved Thanksgiving catering menu….
2008,World of Illumination,2022-11-23,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2009,Biggerstaff Brewing Company Trivia,2022-11-23,Biggerstaff Brewing Company,"Awesome Trivia with 1st, 2nd and 3rd place prizes with Biggerstaff Brewing Company!"
2010,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-23,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2011,Harry Potter: The Exhibition,2022-11-23,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2012,2022 Georgia Festival of Trees,2022-11-23,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
2013,Maker’s Market,2022-11-23,Atlantic Green,
2014,Reindeer Road by World of Illumination,2022-11-23,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2015,Gurl Mobb Museum- Selfie museum in Atlanta,2022-11-23,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2016,“In Hope for a Better Future” Art Exhibition,2022-11-23,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2017,"Garden Lights, Holiday Nights",2022-11-23,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2018,Wednesday Night Laughs,2022-11-23,The Original Hot Dog Factory,Free Weekly Comedy Show 7P – 9P Hosted by More Than Cultr’s Own Kamal The…
2019,Drinksgiving!,2022-11-23,UrbanTree Cidery,Join us for our first ever Drinksgiving!   The tasting room will be open the…
2020,Claude Monet Immersive Exhibit,2022-11-23,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2021,Stranger Things: The Experience,2022-11-23,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2022,Stem Wine Bar’s November Tastings: Amazing America,2022-11-23,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
2023,Atlanta Hawks vs. Sacramento Kings,2022-11-23,State Farm Arena,Come cheer on the Hawks as they take on the Sacramento Kings on November 23rd…
2024,Fall Safari Camp,2022-11-23,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Fall Break!…
2025,Skate the Station,2022-11-23,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2026,Holiday in the Park,2022-11-23,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2027,Holiday Catering with Grecian Gyro,2022-11-23,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2028,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-23,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2029,FIFA World Cup 2022™ Watch Parties,2022-11-23,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2030,Ancient Engraved Gemstones,2022-11-23,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
2031,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-23,Chick-fil-A College Football Hall of Fame,
2032,Deana Lawson Exhibit,2022-11-23,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2033,OnStage Atlanta presents The Cemetery Club,2022-11-23,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
2034,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-23,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
2035,Spruill Gallery Holiday Artists Market,2022-11-23,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2036,Dungeons and Dragons One Shot Adventure Wednesdays,2022-11-23,Caffeinated Gamers,"Whether you’re an experienced adventurer or have never played D&D, this is the event for…"
2037,Cirque Du Soleil – Kurios,2022-11-23,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2038,Candlelight: A Tribute to Beyonce,2022-11-23,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
2039,Celebration at the Station,2022-11-23,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2040,OnStage Atlanta presents The Cemetery Club,2022-11-24,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
2041,2022 Georgia Festival of Trees,2022-11-24,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
2042,Celebrate Thanksgiving at Davio’s,2022-11-24,Davio’s Northern Italian Steakhouse,"Celebrate Thanksgiving with loved ones at Davio’s. On Thursday, November 24th from 11:00am to 8:00pm,…"
2043,PAW Patrol: Adventure Play,2022-11-24,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2044,Tiny Lous Thanksgiving Day,2022-11-24,Ponce de Leon Ave. & Clifton Road,"Thanksgiving: Thursday, November 24th ● Tiny Lou’s: 11:00am-4:00pm ● Lobby Bar: 11:00am-6:00pm ● Rooftop: closed…"
2045,Celebrate Thanksgiving at ENZO Steakhouse & Bar,2022-11-24,ENZO Steakhouse & Bar,"Let ENZO Steakhouse & Bar do the work this Thanksgiving. On Thursday, November 24, 2022…"
2046,Celebrate Thanksgiving All Week Long at Dantanna’s,2022-11-24,Dantanna’s Buckhead,"Be extra thankful this year with Dantanna’s Thanksgiving offerings. Starting on Monday, November 21st through…"
2047,Spruill Gallery Holiday Artists Market,2022-11-24,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
